BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,KENSINGTON,02-TWO FAMILY DWELLINGS,17,"1,112,500","1,592,382","1,595,000","2,350,000"
BROOKLYN,KENSINGTON,03-THREE FAMILY DWELLINGS,8,"400,000","1,350,000","1,452,500","1,730,000"
BROOKLYN,MADISON,01-ONE FAMILY DWELLINGS,111,"373,000","1,087,097","970,000","2,600,000"
BROOKLYN,MADISON,02-TWO FAMILY DWELLINGS,66,"382,407","1,205,177","1,087,500","2,940,000"
BROOKLYN,MADISON,03-THREE FAMILY DWELLINGS,6,"1,100,000","1,459,333","1,438,000","1,900,000"
BROOKLYN,MANHATTAN BEACH,01-ONE FAMILY DWELLINGS,32,"255,528","1,820,265","1,692,500","4,750,000"
BROOKLYN,MANHATTAN BEACH,02-TWO FAMILY DWELLINGS,11,"880,000","1,338,091","1,300,000","1,999,999"
BROOKLYN,MANHATTAN BEACH,03-THREE FAMILY DWELLINGS,1,"2,510,000","2,510,000","2,510,000","2,510,000"
BROOKLYN,MARINE PARK,01-ONE FAMILY DWELLINGS,212,"290,000","735,583","720,000","2,160,000"
BROOKLYN,MARINE PARK,02-TWO FAMILY DWELLINGS,68,"424,000","825,471","825,000","1,250,000"
BROOKLYN,MARINE PARK,03-THREE FAMILY DWELLINGS,6,"210,000","692,667","670,500","1,225,000"
BROOKLYN,MIDWOOD,01-ONE FAMILY DWELLINGS,145,"325,000","1,208,845","999,000","7,200,000"
BROOKLYN,MIDWOOD,02-TWO FAMILY DWELLINGS,50,"450,000","1,226,299","1,250,000","2,770,000"
BROOKLYN,MIDWOOD,03-THREE FAMILY DWELLINGS,9,"700,000","1,249,222","1,225,000","1,615,000"
BROOKLYN,MILL BASIN,01-ONE FAMILY DWELLINGS,56,"213,900","1,122,892","982,500","7,200,000"
BROOKLYN,MILL BASIN,02-TWO FAMILY DWELLINGS,41,"462,500","1,006,280","980,000","1,895,000"
BROOKLYN,NAVY YARD,01-ONE FAMILY DWELLINGS,3,"1,800,000","2,306,667","2,370,000","2,750,000"
BROOKLYN,NAVY YARD,03-THREE FAMILY DWELLINGS,1,"1,250,000","1,250,000","1,250,000","1,250,000"
BROOKLYN,OCEAN HILL,01-ONE FAMILY DWELLINGS,7,"250,000","890,143","912,000","1,650,000"
BROOKLYN,OCEAN HILL,02-TWO FAMILY DWELLINGS,86,"232,750","1,093,499","1,027,500","2,300,000"
BROOKLYN,OCEAN HILL,03-THREE FAMILY DWELLINGS,38,"370,000","1,110,531","1,100,000","2,110,000"
BROOKLYN,OCEAN PARKWAY-NORTH,01-ONE FAMILY DWELLINGS,109,"613,000","1,890,028","1,500,000","6,900,000"
BROOKLYN,OCEAN PARKWAY-NORTH,02-TWO FAMILY DWELLINGS,107,"700,000","1,853,580","1,550,000","8,000,000"
BROOKLYN,OCEAN PARKWAY-NORTH,03-THREE FAMILY DWELLINGS,18,"935,000","1,987,775","1,697,500","3,300,000"
BROOKLYN,OCEAN PARKWAY-SOUTH,01-ONE FAMILY DWELLINGS,53,"690,000","2,807,085","2,375,000","9,250,000"
BROOKLYN,OCEAN PARKWAY-SOUTH,02-TWO FAMILY DWELLINGS,89,"200,000","1,258,635","1,050,000","4,260,000"
BROOKLYN,OCEAN PARKWAY-SOUTH,03-THREE FAMILY DWELLINGS,17,"770,000","1,414,647","1,260,000","2,750,000"
BROOKLYN,OLD MILL BASIN,01-ONE FAMILY DWELLINGS,93,"226,000","616,644","637,500","920,000"
